Fechas,TEMP-EXT,TEMP-INT,HUM-INT,HUM-EXT
2017-03-31 12:37:07,42.12,39.42,38.12,28.84
2017-03-31 13:07:14,44.82,39.29,37.48,25.36
2017-03-31 13:37:22,44.33,39.03,37.62,24.87
2017-03-31 14:07:29,44.83,39.82,36.64,24.17
2017-03-31 14:37:36,45.62,39.75,34.52,22
2017-03-31 15:07:43,44.08,40.34,36.86,25.9
2017-03-31 15:37:50,41.93,39.29,39.25,31.72
2017-03-31 16:07:57,41.65,38.94,41.21,31.86
2017-03-31 16:38:04,39.63,38.96,39.36,33.83
2017-03-31 17:08:11,37.34,37.81,41.23,37.65
2017-03-31 17:38:18,37.42,37.49,40.7,38.63
2017-03-31 18:08:25,35.89,36.9,45.47,43.88
2017-03-31 18:38:32,34.32,36.39,43.51,47.78
2017-03-31 19:08:40,33.74,36.07,51.77,50.17
2017-03-31 19:38:47,32.3,35.73,47.14,55.46
2017-03-31 20:08:54,33.63,35.37,54.14,51.74
2017-03-31 20:39:01,33.39,35.11,56.22,51.96
2017-03-31 21:09:08,33.33,34.9,57.79,52.57
2017-03-31 21:39:15,33.22,34.83,57.36,53.61
2017-03-31 22:09:22,33.76,34.77,58.33,51.98
2017-03-31 22:39:29,33.95,34.87,58.05,50.91
2017-03-31 23:09:36,33.88,34.97,58.02,50.52
2017-03-31 23:39:43,33.88,35.03,58.08,50.37
2017-04-01 00:09:50,33.74,34.81,57.1,51.08
2017-04-01 00:39:57,33.41,34.72,58.43,52.2
2017-04-01 01:10:04,33.02,34.51,58.26,53.83
2017-04-01 01:40:11,33.1,34.45,59.66,52.69
2017-04-01 02:10:19,32.99,34.49,58.33,52.59
2017-04-01 02:40:26,32.71,34.44,59.68,53.49
2017-04-01 03:10:33,32.4,34.38,59.7,54.05
2017-04-01 03:40:40,32.41,34.38,63.09,53.83
2017-04-01 04:10:47,31.28,34.45,60.92,58.91
2017-04-01 04:40:54,31.26,34.36,60.51,58.99
2017-04-01 05:11:01,31.01,34.28,59.61,60.03
2017-04-01 05:41:08,31.08,34.16,60.68,60.25
2017-04-01 06:11:15,30.5,34.09,60.12,62.63
2017-04-01 06:41:22,30.63,33.81,62.52,62.46
2017-04-01 07:11:29,31.13,33.76,61.05,60.42
2017-04-01 07:41:37,32.11,33.86,58.46,58.19
2017-04-01 08:11:44,33.16,33.85,57.34,55
2017-04-01 08:41:50,34.43,33.97,56.57,51.96
2017-04-01 09:11:58,36.01,34.28,54.32,46.51
2017-04-01 09:42:05,37.35,34.65,50.88,42.13
2017-04-01 10:12:13,38.92,35.17,49.92,37.98
2017-04-01 10:42:21,41.45,36.95,45.79,34.6
2017-04-01 11:12:30,43.06,38.06,41.92,29.99
2017-04-01 11:42:37,43.97,39.16,38.91,27.61
2017-04-01 12:12:45,45.31,39.17,38.17,25.63
2017-04-01 12:42:52,45.29,39.45,38.12,24.92
2017-04-01 13:12:59,46.15,39.73,37.47,23.21
2017-04-01 13:43:07,44.69,40.87,34.35,25.1
2017-04-01 14:13:14,45.68,40.03,37.49,23.69
2017-04-01 14:43:21,44.79,40.47,34.83,23.92
2017-04-01 15:13:29,46.32,40.12,38.22,23.59
2017-04-01 15:43:36,45.95,39.83,33.66,22.21
2017-04-01 16:13:43,47.23,41.43,32.31,21.27
2017-04-01 16:43:50,45.16,41.06,31.43,23.11
2017-04-01 17:13:57,42.74,40.09,30.84,24.09
2017-04-01 17:44:05,42.74,39.82,31.87,24.67
2017-04-01 18:14:12,41.48,38.96,33.93,26.18
2017-04-01 18:44:19,40.35,38.74,33.92,28.24
2017-04-01 19:14:27,38.65,38.03,34.61,29.84
2017-04-01 19:44:34,37.85,37.57,36.56,30.67
2017-04-01 20:14:42,37.28,37.21,37.88,32.06
2017-04-01 20:44:49,35.96,36.9,39.11,35.18
2017-04-01 21:14:56,35.19,36.55,40.75,37.73
2017-04-01 21:45:03,35.58,36.3,40.49,37.34
2017-04-01 22:15:10,34.45,35.99,41.49,40.85
2017-04-01 22:45:17,33.6,35.74,45.68,43.17
2017-04-01 23:15:25,33.87,35.5,43.92,43.58
2017-04-01 23:45:32,33.22,35.3,52.55,46.85
2017-04-02 00:15:39,32.28,35,51.27,51.66
2017-04-02 00:45:46,32.71,34.78,53.24,51.15
2017-04-02 01:15:53,31.53,34.75,57.79,57.22
2017-04-02 01:46:00,31.7,34.65,53.72,57.71
2017-04-02 02:16:07,31.32,34.49,58.75,59.4
2017-04-02 02:46:14,31.45,34.42,59.85,58.77
2017-04-02 03:16:21,30.83,34.39,59.04,61.78
2017-04-02 03:46:28,31.31,34.36,59.02,60.43
2017-04-02 04:16:35,31.62,34.34,61.32,59.93
2017-04-02 04:46:42,31.31,34.28,59.81,60.65
2017-04-02 05:16:49,31.08,34.16,56.72,61.52
2017-04-02 05:46:56,30.64,34.12,59.66,63.54
2017-04-02 06:17:03,30.4,33.94,61.92,64.98
2017-04-02 06:47:11,30.71,33.84,60.61,64.12
2017-04-02 07:17:18,30.91,33.79,58.59,63.37
2017-04-02 07:47:25,31.56,33.91,55.86,61.67
2017-04-02 08:17:32,32.99,33.92,57.09,57.42
2017-04-02 08:47:39,32.72,34.11,57.66,57.78
2017-04-02 09:17:46,34.09,34.28,55.01,52.42
2017-04-02 09:47:53,33.97,34.59,52.16,51.13
2017-04-02 10:18:00,35.86,35.01,51.35,46.53
2017-04-02 10:48:07,38.04,35.64,48.98,40.58
2017-04-02 11:18:14,40.84,36.79,46.56,35.97
2017-04-02 11:48:21,41.9,38.37,42.34,32.22
2017-04-02 12:18:29,42.99,39.3,41.02,30.87
2017-04-02 12:48:36,43.13,39.72,38.08,28.71
2017-04-02 13:18:43,43.89,40.06,36.31,26.46
2017-04-02 13:48:50,44.73,39.36,37.61,25.48
2017-04-02 14:18:57,44.43,40.48,34.65,25
2017-04-02 14:49:05,46.32,40.61,35.82,22.88
2017-04-02 15:19:12,45.16,41.74,31.98,24.4
2017-04-02 15:49:19,45.44,41.28,32.06,23.52
2017-04-02 16:19:27,46.87,41.03,31.81,21.7
2017-04-02 16:49:35,44.83,40.74,31.12,22.48
2017-04-02 17:19:42,43.35,40.12,32.32,24.6
2017-04-02 17:49:49,41.96,39.4,32.97,26.11
2017-04-02 18:19:56,41.04,38.61,34.87,27.89
2017-04-02 18:50:03,39.37,38.21,37.22,31.12
2017-04-02 19:20:10,38.62,37.8,36.83,32.91
2017-04-02 19:50:17,37.24,37.35,38.31,36.24
2017-04-02 20:20:25,36.28,36.98,41.28,38.67
2017-04-02 20:50:32,35.07,36.49,40.32,40.55
2017-04-02 21:20:39,34.79,36.12,43.25,41.54
2017-04-02 21:50:46,33.83,35.86,46.21,46.24
2017-04-02 22:20:53,33.64,35.44,45.72,47.24
2017-04-02 22:51:00,32.93,35.24,49.64,49.64
2017-04-02 23:21:07,32.62,35.03,52.38,50.81
2017-04-02 23:51:14,32.41,34.88,49.85,51.96
2017-04-03 00:21:21,32.07,34.84,52.43,53.98
2017-04-03 00:51:30,31.62,34.77,53.17,56.42
2017-04-03 01:21:37,31.55,34.52,58.47,57.18
2017-04-03 01:51:44,31.75,34.52,55.69,56.64
2017-04-03 02:21:51,31.66,34.48,57.56,56.91
2017-04-03 02:51:58,30.74,34.36,52.77,57.78
2017-04-03 03:22:05,31.42,34.26,56.16,55.75
2017-04-03 03:52:12,31.29,34.01,59.4,56.89
2017-04-03 04:22:20,31.87,34.13,62.49,54.63
2017-04-03 04:52:27,31.48,34.15,61.28,56.5
2017-04-03 05:22:34,31.26,34.13,54.63,57.03
2017-04-03 05:52:41,31.57,34.13,60.13,56.42
2017-04-03 06:22:48,31.38,33.99,59.59,57.39
2017-04-03 06:52:55,31.11,33.82,60.49,58.05
2017-04-03 07:23:02,31.59,33.95,56.04,58
2017-04-03 07:53:09,32.61,34.02,58.64,55.55
2017-04-03 08:23:16,33.85,34.12,57.75,52.22
2017-04-03 08:53:24,36.28,34.48,52.85,46.36
2017-04-03 09:23:31,36.32,34.95,50.49,45.8
2017-04-03 09:53:38,37.63,35.39,49.01,41.56
2017-04-03 10:23:45,38.74,36.51,45.93,38.5
2017-04-03 10:53:52,41.51,37.85,42.69,33.83
2017-04-03 11:23:59,43.43,39.15,40.02,30.24
2017-04-03 11:54:11,45.41,40.51,37.24,28.59
2017-04-03 12:24:18,45.52,40.35,36.64,26.69
2017-04-03 12:54:25,47.7,40.57,38.8,24.82
2017-04-03 13:24:32,46.79,42.42,32.55,23.54
2017-04-03 13:54:39,46.92,41.28,34.35,23.04
2017-04-03 14:24:46,48.27,41.5,33.44,20.56
2017-04-03 14:54:54,49.67,42.35,30.46,20.56
2017-04-03 15:25:02,48.7,43.02,29.1,19.88
2017-04-03 15:55:09,48.18,43.28,28.62,20.11
2017-04-03 16:25:16,46.03,42.2,28.65,20.34
2017-04-03 16:55:23,46.06,41.43,29.88,21.27
